"year","PRIM_STATE","AREA","AREA_NAME","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","A_MEAN","MEAN_PRSE","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"2011","CA","23420","Fresno, CA","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",2600,13,8.379,1.18,46680,6.1,21690,28710,37270,57790,80060
"2011","CA","23420","Fresno, CA","27-1023","Floral Designers",,50,9.5,0.161,1.18,27670,4.3,21100,23430,27410,31410,35940
"2011","CA","23420","Fresno, CA","27-1024","Graphic Designers",,190,13.5,0.622,1.18,45220,4.3,26060,31940,39650,59930,71990
"2011","CA","23420","Fresno, CA","27-1025","Interior Designers",,60,40.6,0.178,1.18,48220,12.5,27230,31790,40290,64050,80890
"2011","CA","23420","Fresno, CA","27-1026","Merchandise Displayers and Window Trimmers",,180,41.1,0.591,1.18,31600,3.9,19810,25540,29150,35590,45690
"2011","CA","23420","Fresno, CA","27-2041","Music Directors and Composers",,40,24.4,0.141,1.18,40070,11.2,18120,26910,40500,49100,59540
"2011","CA","23420","Fresno, CA","27-3011","Radio and Television Announcers",,90,17.5,0.282,1.18,37690,9.8,23350,26490,31840,41690,61720
"2011","CA","23420","Fresno, CA","27-3022","Reporters and Correspondents",,110,42.5,0.358,1.18,58850,4.9,29930,37400,53490,73260,106350
"2011","CA","23420","Fresno, CA","27-3031","Public Relations Specialists",,210,12.2,0.662,1.18,50320,2.9,30410,36230,45270,64830,77980
"2011","CA","23420","Fresno, CA","27-3041","Editors",,90,21,0.29,1.18,55620,5.6,33520,44120,53970,65010,82860
"2011","CA","23420","Fresno, CA","27-4011","Audio and Video Equipment Technicians",,150,17.7,0.481,1.17,40400,7.4,19600,28020,38710,52020,59670
"2011","CA","23420","Fresno, CA","27-4012","Broadcast Technicians",,120,48.9,0.395,1.17,47070,16.1,18330,21140,42170,71130,87520
"2011","CA","23420","Fresno, CA","27-4021","Photographers",,70,10.4,0.228,1.17,27810,9.1,17880,19540,21950,26410,54580
"2011","CA","23420","Fresno, CA","27-4032","Film and Video Editors",,40,44.5,0.13,1.17,62450,25.9,26260,30930,38490,93750,136410
"2011","CA","31084","Los Angeles, CA ","27-1012","Craft Artists",,300,26.7,0.078,1.17,61270,3.6,27970,48870,62550,75980,90190
"2011","CA","31084","Los Angeles, CA ","27-1013","Fine Artists, Including Painters, Sculptors, and Illustrators",,2960,21.8,0.775,1.17,67390,8.3,31190,37680,54590,73860,115070
"2011","CA","31084","Los Angeles, CA ","27-1014","Multimedia Artists and Animators",,5060,12.6,1.323,1.17,89860,2.7,42550,57370,80130,111460,164240
"2011","CA","31084","Los Angeles, CA ","27-1019","Artists and Related Workers, All Other",,240,21.6,0.064,1.17,63020,5.4,31340,39090,54020,77420,97400
"2011","CA","31084","Los Angeles, CA ","27-1021","Commercial and Industrial Designers",,1230,34.2,0.322,1.17,59030,8.1,35330,41760,53690,73170,92660
"2011","CA","31084","Los Angeles, CA ","27-1022","Fashion Designers",,2760,13.7,0.722,1.17,75860,5.2,33620,45640,64630,88550,128250
"2011","CA","31084","Los Angeles, CA ","27-1023","Floral Designers",,570,25.3,0.15,1.17,29740,6.5,18850,22400,28460,35140,43530
"2011","CA","31084","Los Angeles, CA ","27-1024","Graphic Designers",,9500,5.8,2.484,1.17,59630,1.9,31400,41000,55360,74170,92930
"2011","CA","31084","Los Angeles, CA ","27-1025","Interior Designers",,1790,17.8,0.469,1.17,61970,5.3,32010,43130,58070,76050,90960
"2011","CA","31084","Los Angeles, CA ","27-1026","Merchandise Displayers and Window Trimmers",,1640,14.6,0.428,1.17,31830,4.3,19140,24210,31540,37170,44850
"2011","CA","31084","Los Angeles, CA ","27-1027","Set and Exhibit Designers",,1210,18.3,0.316,1.17,65120,4.5,31460,40230,61660,74630,113970
"2011","CA","31084","Los Angeles, CA ","27-1029","Designers, All Other",,750,27,0.196,1.17,53210,7.4,23320,30540,42730,69820,107170
"2011","CA","31084","Los Angeles, CA ","27-2041","Music Directors and Composers",,550,22.6,0.144,1.16,65700,4,33430,47010,58560,87110,112200
"2011","CA","31084","Los Angeles, CA ","27-3022","Reporters and Correspondents",,1430,12.3,0.373,1.16,51960,6.6,24860,30350,40730,60680,102790
"2011","CA","31084","Los Angeles, CA ","27-3031","Public Relations Specialists",,7480,8.2,1.956,1.16,71090,4,35670,45240,62760,86650,122460
"2011","CA","31084","Los Angeles, CA ","27-3041","Editors",,4300,10.8,1.126,1.16,63130,3.9,33020,40850,55420,72670,98700
