School_District_Name,year,Course_Code,Course_Name,Number_of_Schools,Total_Course_Enrollment,Number_of_Classes,Number_FTE_Teachers,Average_Class_Size_filtered,Average_Class_Size,Subject_Area
Santa Monica-Malibu USD,2006,2748,Any humanities course,4,2076,70,21.13,29.7,29.7,Humanities
Santa Monica-Malibu USD,2007,2748,Any humanities course,4,2165,73,20.08,29.7,29.7,Humanities
Santa Monica-Malibu USD,2008,2748,Any humanities course,4,2138,72,19.76,29.7,29.7,Humanities
Beverly Hills USD,2007,2870,AP Art History,1,21,1,0.2,21,21,Art AP
Beverly Hills USD,2008,2870,AP Art History,1,31,1,0.2,31,31,Art AP
Beverly Hills USD,2010,2870,AP Art History,1,22,1,0.2,22,22,Art AP
Glendale Unified,2010,2870,AP Art History,1,35,1,0.13,35,35,Art AP
Inglewood USD,2008,2870,AP Art History,1,21,1,0.2,21,21,Art AP
Long Beach Unified,2007,2870,AP Art History,6,162,8,1.46,20.2,20.2,Art AP
Long Beach Unified,2008,2870,AP Art History,4,155,7,1.18,22.1,22.1,Art AP
Long Beach Unified,2010,2870,AP Art History,3,129,5,0.79,25.8,25.8,Art AP
Los Angeles USD,2007,2870,AP Art History,19,603,23,4.35,23.5,26.2,Art AP
Los Angeles USD,2008,2870,AP Art History,23,660,27,5.15,24.4,24.4,Art AP
Los Angeles USD,2010,2870,AP Art History,17,475,20,3.45,23.8,23.8,Art AP
Manhattan Beach USD,2008,2870,AP Art History,1,82,4,0.8,20.5,20.5,Art AP
Manhattan Beach USD,2010,2870,AP Art History,1,68,1,0.3,0,68,Art AP
Santa Monica-Malibu USD,2007,2870,AP Art History,1,24,1,0.2,24,24,Art AP
Santa Monica-Malibu USD,2008,2870,AP Art History,1,15,1,0.2,15,15,Art AP
Burbank Unified,2007,2370,Advanced placement Music theory,2,36,2,0.4,18,18,Music AP
Burbank Unified,2008,2370,Advanced placement Music theory,2,36,2,0.4,18,18,Music AP
Burbank Unified,2010,2370,Advanced placement Music theory,2,39,2,0.34,19.5,19.5,Music AP
La Canada Unified,2010,2370,Advanced placement Music theory,1,35,1,0.2,35,35,Music AP
Long Beach Unified,2007,2370,Advanced placement Music theory,2,48,2,0.36,24,24,Music AP
Long Beach Unified,2008,2370,Advanced placement Music theory,3,53,3,0.52,17.7,17.7,Music AP
Long Beach Unified,2010,2370,Advanced placement Music theory,3,60,3,0.48,20,20,Music AP
Los Angeles USD,2007,2370,Advanced placement Music theory,9,161,9,1.73,17.9,17.9,Music AP
Los Angeles USD,2008,2370,Advanced placement Music theory,9,150,9,1.85,16.7,16.7,Music AP
Los Angeles USD,2010,2370,Advanced placement Music theory,11,210,12,2.36,17.5,17.5,Music AP
Manhattan Beach USD,2007,2370,Advanced placement Music theory,1,22,1,0.2,22,22,Music AP
Manhattan Beach USD,2008,2370,Advanced placement Music theory,1,15,1,0.2,15,15,Music AP
Manhattan Beach USD,2010,2370,Advanced placement Music theory,1,20,1,0.14,20,20,Music AP
Pasadena Unified,2007,2370,Advanced placement Music theory,1,36,1,0.2,36,36,Music AP
Pasadena Unified,2008,2370,Advanced placement Music theory,1,6,1,0.2,6,6,Music AP
Santa Monica-Malibu USD,2007,2370,Advanced placement Music theory,1,9,1,0.2,9,9,Music AP
Beverly Hills USD,2008,2874,AP Studio Art: Drawing,1,15,1,0.2,15,15,Art AP
Glendale Unified,2010,2874,AP Studio Art: Drawing,1,5,1,0.2,5,5,Art AP
Long Beach Unified,2007,2874,AP Studio Art: Drawing,3,64,3,0.57,21.3,21.3,Art AP
Long Beach Unified,2008,2874,AP Studio Art: Drawing,1,21,1,0.2,21,21,Art AP
Long Beach Unified,2010,2874,AP Studio Art: Drawing,1,14,1,0.14,14,14,Art AP
Los Angeles USD,2007,2874,AP Studio Art: Drawing,11,164,11,2.14,14.9,14.9,Art AP
Los Angeles USD,2008,2874,AP Studio Art: Drawing,8,162,9,1.95,18,18,Art AP
Los Angeles USD,2010,2874,AP Studio Art: Drawing,9,251,12,2.02,20.9,20.9,Art AP
Manhattan Beach USD,2007,2874,AP Studio Art: Drawing,1,14,1,0.2,14,14,Art AP
Manhattan Beach USD,2008,2874,AP Studio Art: Drawing,1,18,1,0.2,18,18,Art AP
Pasadena Unified,2007,2874,AP Studio Art: Drawing,1,67,2,0.4,33.5,33.5,Art AP
Pasadena Unified,2008,2874,AP Studio Art: Drawing,1,128,4,0.66,32,32,Art AP
Pasadena Unified,2010,2874,AP Studio Art: Drawing,2,57,2,0.31,28.5,28.5,Art AP
Santa Monica-Malibu USD,2007,2874,AP Studio Art: Drawing,2,81,3,0.6,27,27,Art AP
Santa Monica-Malibu USD,2008,2874,AP Studio Art: Drawing,2,73,3,0.6,24.3,24.3,Art AP
Santa Monica-Malibu USD,2010,2874,AP Studio Art: Drawing,2,70,4,0.45,17.5,17.5,Art AP
Long Beach Unified,2007,2876,AP Studio Art: Three Dimensional,1,12,1,0.17,12,12,Art AP
